code,name,settlement_month,required_shares,yuutai_value,yuutai_content
3662,エイチームホールディングス,1,500,10000,
1433,ベステラ,1,1000,15000,
8013,ナイガイ,1,100,300,
2353,日本駐車場開発,1,500,1000,
3320,クロスプラス,1,100,1500,
3399,丸千代山岡家,1,100,1000,
7678,あさくま,1,100,4000,
3193,エターナルホスピタリティグループ,1,100,1000,
6654,不二電機工業,1,300,500,
8142,トーホー,1,100,2000,
3421,稲葉製作所,1,1000,1000,
1928,積水ハウス,1,1000,5000,
3415,ＴＯＫＹＯ　ＢＡＳＥ,1,1000,8000,
9262,シルバーライフ,1,200,2000,
2930,北の達人コーポレーション,2,100,3000,
7049,識学,2,200,5000,
7603,ジーイエット,2,100,500,
9979,大庄,2,100,3000,
9835,ジュンテンドー,2,100,1000,
7512,イオン北海道,2,100,1200,
8278,フジ,2,100,3000,
3063,ジェイグループホールディングス,2,200,4000,
3222,ユナイテッド・スーパーマーケット・ホールディングス,2,100,1500,
7512,イオン北海道,2,+400,6800,
3048,ビックカメラ,2,100,2000,
3387,クリエイト・レストランツ・ホールディングス,2,600,10000,
3546,アレンザホールディングス,2,100,1000,
7513,コジマ,2,100,2000,
7630,壱番屋,2,100,1000,
5018,ＭＯＲＥＳＣＯ,2,300,3000,
8167,リテールパートナーズ,2,100,1000,
9861,吉野家ホールディングス,2,200,5000,
3382,セブン＆アイ・ホールディングス,2,100,2000,
2685,アンドエスティＨＤ,2,100,2500,
9946,ミニストップ,2,100,1000,
9948,アークス,2,100,2000,
8200,リンガーハット,2,100,1650,
9842,アークランズ,2,100,500,
9842,アークランズ,2,+100,500,
9842,アークランズ,2,+800,4000,
7610,テイツー,2,5000,8000,
7610,テイツー,2,+5000,12000,
8008,４℃ホールディングス,2,100,1000,
3612,ワールド,2,+1000,7000,
3612,ワールド,2,1000,5000,
3087,ドトール・日レスホールディングス,2,100,1000,
4343,イオンファンタジー,2,100,2000,
4343,イオンファンタジー,2,+100,2000,
4343,イオンファンタジー,2,+100,2000,
7611,ハイデイ日高,2,100,1000,
7611,ハイデイ日高,2,+400,4000,
3543,コメダホールディングス,2,100,1000,
2379,ディップ,2,100,500,
8273,イズミ,2,100,2000,
3479,ティーケーピー,2,1000,25000,
3479,ティーケーピー,2,+1000,25000,
3479,ティーケーピー,2,+2000,50000,
8125,ワキタ,2,100,3000,
8125,ワキタ,2,+200,7000,
9418,Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,2,100,2500,
7416,はるやまホールディングス,3,100,3000,
9760,進学会ホールディングス,3,100,3000,
9010,富士急行,3,100,3000,
6045,レントラックス,3,100,5000,
6545,インターネットインフィニティー,3,100,2000,
3521,テルマー湯ホールディングス,3,300,2000,
2749,ＪＰホールディングス,3,500,10000,
4765,ＳＢＩグローバルアセットマネジメント,3,500,12000,
4442,バルテス・ホールディングス,3,500,7500,
9788,ナック,3,100,2000,
9788,ナック,3,+200,2000,
9788,ナック,3,+200,2000,
8742,小林洋行,3,100,1000,
3484,イノベーションホールディングス,3,500,10000,
7412,アトム,3,100,1000,
7412,アトム,3,+400,4000,
7412,アトム,3,+500,5000,
9041,近鉄グループホールディングス,3,100,4000,
3179,シュッピン,3,100,6000,
3179,シュッピン,3,+200,3000,
3690,イルグルム,3,100,1000,
7743,シード,3,100,1500,
4678,秀英予備校,3,100,500,
7780,メニコン,3,100,5000,
9380,東海運,3,500,3000,
9380,東海運,3,+2500,17000,
7616,コロワイド,3,500,20000,
2730,エディオン,3,100,5000,
2730,エディオン,3,+400,8000,
2730,エディオン,3,+500,5000,
2378,ルネサンス,3,100,2000,
9274,ＫＰＰグループホールディングス,3,100,1000,
9021,西日本旅客鉄道,3,100,3000,
3178,チムニー,3,100,3000,
9663,ナガワ,3,500,30000,
3166,ＯＣＨＩホールディングス,3,100,2000,
4923,コタ,3,100,2500,
1420,サンヨーホームズ,3,100,1000,
9887,松屋フーズホールディングス,3,100,10000,
3232,三重交通グループホールディングス,3,100,1500,
6059,ウチヤマホールディングス,3,2000,7500,
4681,リゾートトラスト,3,100,6000,
9059,カンダホールディングス,3,100,1000,
3059,ヒラキ,3,100,1000,
8699,,3,100,1000,
3067,東京一番フーズ,3,500,5490,
8841,テーオーシー,3,500,3000,
9044,南海電気鉄道,3,200,3000,
2359,コア,3,200,800,
9831,ヤマダホールディングス,3,1000,5000,
9423,ＦＲＳ,3,5000,15000,
7294,ヨロズ,3,100,1000,
1780,ヤマウラ,3,100,1000,
3679,じげん,3,1000,9000,
6562,ジーニー,3,1000,12000,
3221,ヨシックスホールディングス,3,300,10000,
3912,モバイルファクトリー,3,1000,10000,
8163,ＳＲＳホールディングス,3,1000,12000,
9039,サカイ引越センター,3,100,5000,
7417,南陽,3,100,1000,
8084,ＲＹＯＤＥＮ,3,100,2000,
7570,橋本総業ホールディングス,3,100,1000,
9969,ショクブン,3,500,2000,
7458,第一興商,3,200,5000,
3183,ウイン・パートナーズ,3,100,1000,
7482,シモジマ,3,100,1000,
9633,東京テアトル,3,100,4000,
5659,日本精線,3,100,1000,
3880,大王製紙,3,100,1000,
3848,データ・アプリケーション,3,1000,7000,
3291,飯田グループホールディングス,3,100,2000,
9405,朝日放送グループホールディングス,3,100,500,
9900,サガミホールディングス,3,1000,15000,
9045,京阪ホールディングス,3,100,1500,
8881,日神グループホールディングス,3,1000,4000,
7874,レック,3,100,700,
5269,日本コンクリート工業,3,2000,10000,
6820,アイコム,3,100,1000,
3397,トリドールホールディングス,3,100,3000,
4538,扶桑薬品工業,3,1500,20000,
4559,ゼリア新薬工業,3,100,1000,
7191,イントラスト,3,100,500,
8173,上新電機,3,100,1000,
6073,アサンテ,3,100,1000,
9936,王将フードサービス,3,100,2000,
3863,日本製紙,3,100,1000,
3763,プロシップ,3,100,1000,
8160,木曽路,3,100,1600,
6238,フリュー,3,500,2500,
6238,フリュー,3,+500,2500,
8282,ケーズホールディングス,3,100,1000,
2705,大戸屋ホールディングス,3,100,4000,
6463,ＴＰＲ,3,200,3000,
7463,アドヴァングループ,3,100,500,
4694,ビー・エム・エル,3,100,1500,
6089,ウィルグループ,3,500,10000,
4718,早稲田アカデミー,3,100,6000,
4661,オリエンタルランド,3,500,10000,
9319,中央倉庫,3,300,2000,
8137,サンワテクノス,3,+400,10000,
8137,サンワテクノス,3,400,10000,
7552,ハピネット,3,100,1000,
8281,ゼビオホールディングス,3,100,1000,
7522,ワタミ,3,100,1000,
8473,ＳＢＩホールディングス,3,100,2000,
165A,,3,1000,2000,
165A,,3,+4000,8000,
3924,ランドコンピュータ,3,100,2000,
3992,ニーズウェル,3,1000,15000,
4053,,3,+1000,20000,
4053,,3,2000,20000,
6096,レアジョブ,3,100,2000,
6569,,3,1000,10000,
6569,,3,+1000,15000,
7087,ウイルテック,3,700,10000,
7769,リズム,3,100,15000,
8051,山善,3,100,3000,
8739,スパークス・グループ,3,1500,12000,
9536,西部ガスホールディングス,3,200,3000,
9536,西部ガスホールディングス,3,+200,3000,
9553,マイクロアド,3,800,7000,
9882,イエローハット,3,100,2000,
